0|1|2|3|5|7|source_page|4|6
Programme Total|(0)|(0)||||36||6,819,199
||||(0)||36|6,823,697|
PROGRAMME/SUBPROGRAMME|2023 BUDGET||2024 BUDGET|||36||2025 BUDGET
|Approved|"Expendit
ure"|Approved|"Expendit
ure*"||36||Estimates
"13 District Health servcies
001Primary Health Services
002District Health Services
003Hospital Services"|"(0)
(0)
(0)
(0)"|"(0)
(0)
(0)"|"6,823,697
6,029,620
794,077
-"|"(0)
(0)
(0)"||36||"6,819,199
2,537,885
629,703
3,651,611"
Programme Total|(0)|(0)|6,823,69|(0)||36|7|6,68,1891,91,91999
Key Output and Output Indicator|2023||2024|2025||37||
|Target|Actual|Target|Target||37|Actual*|
"Essential medicines services provided in health facilities
02 Drug Fill rate (percentage availability of drugs at health centre)"|-|-|-|100||37|-|
"Performance assessment conducted
01 Number of facilities assessed"|-|-|-|28||37|-|
"Medical and surgical services conducted
01 Proportion of surgical cases conducted
02 Proportion of patients treated according to standard guidelines."|"-
-"|"-
-"|"-
-"|"100
100"||37|"-
-"|
ECONOMIC CLASSIFICATION|2023 BUDGET|||||38|2024 BUDGET|2025 BUDGET
|Approved|"Expendit
ure"||"Expendit
ure*"||38|Approved|Estimates
